InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
115795,B200,Bag,5,2023-01-01 00:00:00,88.07,10034,Spain,440.34999999999997
100860,A100,T-shirt,3,2023-01-01 01:00:00,18.58,10051,United Kingdom,55.739999999999995
176820,B200,Bag,8,2023-01-01 02:00:00,88.16,10045,Netherlands,705.28
154886,C300,T-shirt,8,2023-01-01 03:00:00,43.46,10193,United Kingdom,347.68
106265,C300,Shoes,9,2023-01-01 04:00:00,31.2,10056,United Kingdom,280.8
182386,A100,Bag,6,2023-01-01 05:00:00,33.91,10041,Netherlands,203.45999999999998
137194,C300,T-shirt,2,2023-01-01 06:00:00,36.36,10076,France,72.72
187498,B200,Watch,3,2023-01-01 07:00:00,53.12,10097,Netherlands,159.35999999999999
144131,A100,Watch,6,2023-01-01 08:00:00,38.62,10015,United Kingdom,231.71999999999997
160263,D400,Watch,1,2023-01-01 09:00:00,66.48,10132,Spain,66.48
116023,A100,Bag,2,2023-01-01 10:00:00,45.39,10000,Netherlands,90.78
141090,B200,T-shirt,8,2023-01-01 11:00:00,68.81,10149,Spain,550.48
167221,A100,T-shirt,8,2023-01-01 12:00:00,62.42,10047,France,499.36
164820,A100,T-shirt,6,2023-01-01 13:00:00,28.22,10121,France,169.32
100769,B200,Bag,3,2023-01-01 14:00:00,82.21,10025,Spain,246.63
159735,A100,T-shirt,2,2023-01-01 15:00:00,80.9,10033,Spain,161.8
162955,A100,Shoes,6,2023-01-01 16:00:00,98.95,10113,Netherlands,593.7
164925,B200,Bag,1,2023-01-01 17:00:00,21.63,10057,France,21.63
167969,C300,Shoes,6,2023-01-01 18:00:00,85.54,10134,Spain,513.24
105311,B200,Shoes,9,2023-01-01 19:00:00,87.84,10024,Germany,790.5600000000001
183104,A100,Watch,7,2023-01-01 20:00:00,66.01,10184,Netherlands,462.07000000000005
153707,D400,Bag,9,2023-01-01 21:00:00,53.11,10139,Netherlands,477.99
185305,D400,T-shirt,2,2023-01-01 22:00:00,95.94,10158,Germany,191.88
128693,B200,Shoes,5,2023-01-01 23:00:00,97.41,10026,France,487.04999999999995
171932,D400,Bag,9,2023-01-02 00:00:00,65.96,10085,Spain,593.64
193016,A100,T-shirt,7,2023-01-02 01:00:00,39.16,10161,Spain,274.12
125658,A100,Watch,9,2023-01-02 02:00:00,82.63,10117,France,743.67
184478,B200,Bag,6,2023-01-02 03:00:00,13.48,10080,Germany,80.88
118431,A100,Bag,7,2023-01-02 04:00:00,32.61,10074,Germany,228.26999999999998
102747,C300,Bag,5,2023-01-02 05:00:00,98.63,10092,Germany,493.15
159150,A100,T-shirt,6,2023-01-02 06:00:00,82.36,10033,Netherlands,494.15999999999997
165725,B200,Shoes,1,2023-01-02 07:00:00,94.26,10114,Spain,94.26
184654,C300,Shoes,1,2023-01-02 08:00:00,61.51,10164,United Kingdom,61.51
135773,C300,Bag,2,2023-01-02 09:00:00,43.73,10185,Netherlands,87.46
167435,D400,Bag,4,2023-01-02 10:00:00,98.07,10112,Netherlands,392.28
156886,A100,T-shirt,9,2023-01-02 11:00:00,34.4,10111,Spain,309.59999999999997
166803,B200,Watch,7,2023-01-02 12:00:00,76.95,10059,France,538.65
131551,D400,Bag,6,2023-01-02 13:00:00,58.03,10025,Spain,348.18
111394,D400,Bag,1,2023-01-02 14:00:00,26.71,10125,France,26.71
169092,A100,Watch,5,2023-01-02 15:00:00,6.66,10172,Spain,33.3
103890,A100,Bag,4,2023-01-02 16:00:00,41.46,10044,Netherlands,165.84
141606,B200,Shoes,5,2023-01-02 17:00:00,57.03,10031,Germany,285.15
196276,D400,Bag,9,2023-01-02 18:00:00,22.4,10196,Netherlands,201.6
180038,B200,Shoes,3,2023-01-02 19:00:00,44.38,10070,Netherlands,133.14000000000001
